"batch","run","warmup","process_to_present_ms","entry_to_present_ms","gpu_completion_after_present_ms","shader_compiles","shader_cache_hits"
"cached-complete","0","True","1619.349229","1394.3817","1.1843","0","3"
"cached-complete","1","False","333.408436","301.8745","1.1242","0","3"
"cached-complete","2","False","329.177645","298.3212","1.1739","0","3"
"cached-complete","3","False","336.386609","305.9474","1.1152","0","3"
"cached-complete","4","False","336.882609","305.1663","1.1761","0","3"
"cached-complete","5","False","335.534436","304.7505","1.109","0","3"
"cached-complete","6","False","342.295596","310.8017","1.1127","0","3"
"cached-complete","7","False","335.270239","303.2656","1.4681","0","3"
"cold-complete","0","True","701.799682","671.2052","1.221","3","0"
"cold-complete","1","False","597.886377","560.725","1.0827","3","0"
"cold-complete","2","False","561.510604","530.1837","1.177","3","0"
"cold-complete","3","False","571.070101","542.0889","1.3286","3","0"
"cold-complete","4","False","579.746782","548.5273","1.1619","3","0"
"cold-complete","5","False","566.834255","537.5574","1.1193","3","0"
