scenario,mode,run,launch_to_present_ms,entry_to_present_ms,process_entry_ms,sky_cpu_ms,engine_new_ms,vk_create_instance_ms,shader_total_ms,parallel_batch_ms,raster_pipelines_ms,compute_pipeline_ms,sky_upload_ms,world_prepare_ms,after_prepare_ms,gpu_completion_after_present_ms,present_accepted
debug-baseline,single,0,2526.578,2277.598,248.979,52.477,1084.764,969.868,870.627,0,199.635,13.792,21.583,1104.451,37.787,1.042,not_instrumented
debug-baseline,single,1,1254.599,1223.404,31.195,56.403,202.58,123.675,888.549,0,40.898,13.621,21.526,962.951,37.971,1.209,not_instrumented
debug-baseline,single,2,1165.236,1120.171,45.065,52.35,229.935,147.274,750.442,0,39.55,13.624,21.521,823.55,37.771,1.139,not_instrumented
debug-baseline,single,3,1198.997,1167.457,31.54,54.693,195.7,125.214,848.693,0,39.834,13.605,21.097,915.051,36.311,1.087,not_instrumented
debug-baseline,single,4,1234.329,1201.907,32.422,54.233,195.271,124.317,876.164,0,39.725,13.891,21.374,949.649,36.612,1.025,not_instrumented
debug-baseline,single,5,1276.283,1219.537,56.747,54.018,278.101,176.551,782.101,0,41.289,14.027,20.884,855.833,38.457,1.262,not_instrumented
debug-baseline,single,6,1388.645,1352.045,36.599,72.373,221.373,130.935,976.566,0,59.224,13.807,21.269,1069.208,36.99,1.058,not_instrumented
debug-baseline,single,7,1246.62,1209.585,37.035,52.499,318.585,229.785,756.702,0,40.577,13.712,21.208,830.281,37.437,1.123,not_instrumented
debug-cold-assets,single,0,8486.237,8456.825,29.413,8120.215,194.457,123.856,0.705,0,42.236,13.766,76.839,8203.907,38.288,2.886,not_instrumented
debug-cold-baseline,single,0,9664.974,9569.856,95.117,8292.758,1081.113,950.625,845.457,0,204.157,13.799,101.943,8401.196,38.861,4.616,not_instrumented
debug-control,single,0,1143.158,1103.15,40.008,51.908,224.319,129.221,741.1,0,39.277,13.702,19.768,815.364,36.233,1.086,not_instrumented
debug-control,single,1,1156.634,1125.438,31.196,52.706,197.199,126.249,796.0,0,39.651,13.721,19.565,870.474,37.914,1.07,not_instrumented
debug-control,single,2,1124.055,1093.047,31.008,53.502,193.954,124.267,769.018,0,39.042,13.628,20.036,842.822,36.054,1.065,not_instrumented
debug-control,single,3,1141.909,1111.708,30.201,52.064,232.85,160.863,737.238,0,45.533,13.572,20.467,811.942,46.996,1.357,not_instrumented
debug-no-validation,single,0,1125.98,1089.949,36.031,52.911,197.49,130.107,766.75,0,39.148,13.419,20.75,839.116,31.659,1.049,not_instrumented
debug-no-validation,single,1,1180.895,1099.698,81.197,52.542,194.981,130.769,762.711,0,38.234,13.353,19.96,827.502,28.337,0.942,not_instrumented
debug-no-validation,single,2,1201.087,1165.581,35.506,54.401,181.731,121.402,858.277,0,39.07,14.343,19.889,933.53,29.43,1.002,not_instrumented
debug-no-validation,single,3,1159.243,1129.603,29.64,54.927,183.774,122.27,821.745,0,38.677,13.383,20.585,894.684,30.86,0.906,not_instrumented
debug-no-validation,single,4,1173.577,1144.885,28.692,52.087,263.417,196.569,758.754,0,38.857,13.379,19.691,831.665,29.221,0.994,not_instrumented
debug-no-validation,single,5,1204.198,1173.714,30.485,53.245,186.471,125.01,860.849,0,39.071,13.365,20.233,933.91,32.65,0.973,not_instrumented
debug-optimized-shaders,single,0,1124.393,1093.397,30.997,52.002,191.408,120.685,786.157,0,35.523,11.8,20.097,848.746,32.981,1.031,not_instrumented
debug-optimized-shaders,single,1,1123.9,1093.033,30.867,52.519,195.821,126.825,781.308,0,35.148,11.684,19.441,843.334,33.235,1.177,not_instrumented
debug-optimized-shaders,single,2,1158.047,1127.325,30.722,53.28,189.435,121.136,813.367,0,34.996,11.666,19.779,883.37,34.207,1.119,not_instrumented
debug-optimized-shaders,single,3,1115.2,1085.319,29.881,51.831,209.049,134.687,743.235,0,35.371,13.641,20.132,816.006,35.194,1.109,not_instrumented
debug-parallel-shaders,single,0,1940.01,1678.513,261.498,54.029,1078.715,966.792,1286.757,287.554,200.678,13.298,20.841,514.341,37.173,1.121,not_instrumented
debug-parallel-shaders,single,1,697.406,665.867,31.538,75.342,262.143,158.998,1113.788,275.524,45.134,14.785,21.066,344.75,38.987,1.265,not_instrumented
